[LOG][2000-01-01 06:13] Temp: 18.9C, Press: 100.2Pa, Humid: 66.1%, Volt: 13.9V, Flow: 13.6 L/min, CO2: 383 ppm
[LOG][2005-11-07 03:39] Temp: 29.7C, Press: 104.7Pa, Humid: 72.6%, Volt: 13.3V, Flow: 9.0 L/min, CO2: 481 ppm
[LOG][2005-11-08 12:00] Temp: 21.0C, Press: 101.3Pa, Humid: 47.2%, Volt: 11.9V, Flow: 8.6 L/min, CO2: 482 ppm
[LOG][2005-11-09 16:26] Temp: 30.7C, Press: 99.1Pa, Humid: 66.4%, Volt: 13.4V, Flow: 14.7 L/min, CO2: 423 ppm
[LOG][2005-11-09 19:24] Temp: 20.0C, Press: 102.6Pa, Humid: 63.3%, Volt: 13.3V, Flow: 5.7 L/min, CO2: 363 ppm
[LOG][2005-11-10 07:44] Temp: 30.2C, Press: 103.3Pa, Humid: 71.3%, Volt: 13.2V, Flow: 14.8 L/min, CO2: 494 ppm
[LOG][2005-11-11 05:56] Temp: 28.2C, Press: 98.8Pa, Humid: 56.5%, Volt: 12.7V, Flow: 9.0 L/min, CO2: 417 ppm
[LOG][2005-11-11 10:45] Temp: 21.1C, Press: 99.0Pa, Humid: 77.7%, Volt: 11.4V, Flow: 14.7 L/min, CO2: 372 ppm
[LOG][2005-11-11 18:10] Temp: 34.7C, Press: 102.2Pa, Humid: 56.5%, Volt: 11.2V, Flow: 5.7 L/min, CO2: 390 ppm
[LOG][2005-11-12 10:14] Temp: 25.1C, Press: 98.6Pa, Humid: 60.8%, Volt: 12.8V, Flow: 6.1 L/min, CO2: 475 ppm
[LOG][2005-11-13 00:50] Temp: 22.8C, Press: 102.5Pa, Humid: 31.8%, Volt: 13.8V, Flow: 9.7 L/min, CO2: 445 ppm
[LOG][2005-11-13 06:32] Temp: 20.0C, Press: 103.7Pa, Humid: 42.0%, Volt: 12.0V, Flow: 7.2 L/min, CO2: 462 ppm
[LOG][2005-11-14 04:04] Temp: 25.3C, Press: 104.1Pa, Humid: 39.6%, Volt: 13.3V, Flow: 11.6 L/min, CO2: 500 ppm
[LOG][2005-11-14 10:49] Temp: 15.6C, Press: 98.4Pa, Humid: 66.7%, Volt: 11.6V, Flow: 9.7 L/min, CO2: 478 ppm
[LOG][2005-11-14 20:12] Temp: 29.0C, Press: 103.4Pa, Humid: 66.2%, Volt: 12.4V, Flow: 5.3 L/min, CO2: 377 ppm
[LOG][2005-11-15 00:01] Temp: 15.4C, Press: 100.1Pa, Humid: 52.2%, Volt: 12.3V, Flow: 6.6 L/min, CO2: 432 ppm
[LOG][2005-11-15 01:05] Temp: 31.4C, Press: 104.7Pa, Humid: 57.0%, Volt: 13.9V, Flow: 11.6 L/min, CO2: 432 ppm
[LOG][2005-11-15 22:05] Temp: 31.4C, Press: 103.7Pa, Humid: 35.6%, Volt: 13.4V, Flow: 11.5 L/min, CO2: 363 ppm
[LOG][2005-11-16 05:48] Temp: 23.7C, Press: nanPa, Humid: 34.2%, Volt: nanV, Flow: 13.9 L/min, CO2: 410 ppm
[ERROR] Sensor Disconnected - Volt: nan, Press: nan
[LOG][2005-11-16 11:05] Temp: 25.8C, Press: 102.7Pa, Humid: 61.1%, Volt: 12.2V, Flow: 11.6 L/min, CO2: 493 ppm
[LOG][2005-11-17 01:21] Temp: 22.8C, Press: 103.2Pa, Humid: 60.4%, Volt: 12.1V, Flow: 5.4 L/min, CO2: 437 ppm
[LOG][2005-11-17 06:48] Temp: 31.9C, Press: 99.5Pa, Humid: 44.2%, Volt: 11.9V, Flow: 8.1 L/min, CO2: 473 ppm
[LOG][2005-11-17 23:55] Temp: 27.1C, Press: nanPa, Humid: nan%, Volt: nanV, Flow: 10.5 L/min, CO2: 402 ppm
[ERROR] Sensor Disconnected - Volt: nan, Humid: nan, Press: nan
[LOG][2005-11-18 12:25] Temp: 23.2C, Press: 102.2Pa, Humid: 76.0%, Volt: 12.4V, Flow: 10.8 L/min, CO2: 497 ppm
[LOG][2005-11-18 15:08] Temp: 31.4C, Press: 101.2Pa, Humid: 32.8%, Volt: 12.2V, Flow: 11.1 L/min, CO2: 495 ppm
[LOG][2005-11-18 17:08] Temp: 28.3C, Press: 103.7Pa, Humid: 70.7%, Volt: 12.8V, Flow: 8.5 L/min, CO2: 408 ppm
[LOG][2005-11-19 04:38] Temp: 23.7C, Press: 104.1Pa, Humid: 39.8%, Volt: 11.3V, Flow: 9.7 L/min, CO2: 491 ppm
[LOG][2005-11-19 09:32] Temp: 18.8C, Press: 103.2Pa, Humid: 44.7%, Volt: 13.3V, Flow: 14.5 L/min, CO2: 368 ppm
[LOG][2005-11-19 14:31] Temp: 30.7C, Press: 100.9Pa, Humid: 53.5%, Volt: 12.5V, Flow: 8.7 L/min, CO2: 362 ppm
[LOG][2005-11-20 03:30] Temp: 25.1C, Press: 101.9Pa, Humid: 32.4%, Volt: 13.5V, Flow: 11.3 L/min, CO2: 479 ppm
[LOG][2005-11-20 18:09] Temp: 34.9C, Press: 99.8Pa, Humid: 60.2%, Volt: 12.8V, Flow: 11.2 L/min, CO2: 478 ppm
[LOG][2005-11-21 00:43] Temp: 34.2C, Press: 101.6Pa, Humid: 44.1%, Volt: 13.3V, Flow: 12.5 L/min, CO2: 404 ppm
[LOG][2005-11-21 01:27] Temp: 18.3C, Press: 99.9Pa, Humid: 73.3%, Volt: 12.5V, Flow: 6.7 L/min, CO2: 491 ppm
[LOG][2005-11-21 15:05] Temp: 22.7C, Press: 99.5Pa, Humid: 44.5%, Volt: 13.1V, Flow: 7.9 L/min, CO2: 473 ppm
[LOG][2005-11-22 08:15] Temp: 25.6C, Press: 102.6Pa, Humid: 74.8%, Volt: 12.3V, Flow: 6.8 L/min, CO2: 496 ppm
[LOG][2005-11-22 21:01] Temp: 29.3C, Press: 100.9Pa, Humid: 79.9%, Volt: 12.9V, Flow: 5.6 L/min, CO2: 381 ppm
[LOG][2005-11-23 04:30] Temp: 15.3C, Press: 103.4Pa, Humid: 71.4%, Volt: 11.1V, Flow: 7.9 L/min, CO2: 480 ppm
[LOG][2005-11-23 23:27] Temp: 18.0C, Press: 99.1Pa, Humid: 52.9%, Volt: 13.5V, Flow: 13.5 L/min, CO2: 400 ppm
[LOG][2005-11-24 12:29] Temp: 28.0C, Press: 100.8Pa, Humid: 48.1%, Volt: 12.8V, Flow: 9.9 L/min, CO2: 394 ppm
[LOG][2005-11-24 16:24] Temp: 18.8C, Press: 99.6Pa, Humid: 42.4%, Volt: 11.2V, Flow: 10.0 L/min, CO2: 389 ppm
[LOG][2005-11-25 12:01] Temp: 29.2C, Press: 103.9Pa, Humid: 38.0%, Volt: 13.1V, Flow: 10.1 L/min, CO2: 418 ppm
[LOG][2005-11-25 19:40] Temp: 22.2C, Press: 100.2Pa, Humid: 72.8%, Volt: 12.4V, Flow: 8.2 L/min, CO2: 431 ppm
[LOG][2005-11-26 05:37] Temp: 24.0C, Press: 104.7Pa, Humid: 57.8%, Volt: 13.4V, Flow: 5.2 L/min, CO2: 370 ppm
[LOG][2005-11-27 04:52] Temp: 15.8C, Press: 98.5Pa, Humid: 40.0%, Volt: 12.5V, Flow: 6.1 L/min, CO2: 380 ppm
[LOG][2005-11-27 07:56] Temp: 29.3C, Press: 98.2Pa, Humid: 52.3%, Volt: 11.2V, Flow: 9.3 L/min, CO2: 461 ppm
[LOG][2005-11-27 14:06] Temp: 16.7C, Press: 98.2Pa, Humid: 77.5%, Volt: 13.1V, Flow: 5.0 L/min, CO2: 391 ppm
[LOG][2005-11-28 09:41] Temp: 23.3C, Press: 103.7Pa, Humid: 75.6%, Volt: 12.9V, Flow: 14.6 L/min, CO2: 437 ppm
[LOG][2005-11-28 14:00] Temp: 15.8C, Press: 98.9Pa, Humid: 71.1%, Volt: 12.4V, Flow: 14.2 L/min, CO2: 406 ppm
[LOG][2005-11-28 18:51] Temp: 22.5C, Press: 100.5Pa, Humid: 54.5%, Volt: 11.6V, Flow: 14.1 L/min, CO2: 424 ppm
[LOG][2005-11-29 01:36] Temp: 17.2C, Press: 103.4Pa, Humid: 31.8%, Volt: 12.3V, Flow: 11.2 L/min, CO2: 396 ppm
[LOG][2005-11-29 04:31] Temp: 32.8C, Press: 103.4Pa, Humid: 71.5%, Volt: 13.5V, Flow: 14.7 L/min, CO2: 494 ppm
[LOG][2005-11-29 08:08] Temp: 32.8C, Press: 102.8Pa, Humid: 75.5%, Volt: 12.3V, Flow: 10.2 L/min, CO2: 363 ppm
[LOG][2005-11-30 06:26] Temp: 18.1C, Press: 102.0Pa, Humid: 56.8%, Volt: 12.3V, Flow: 7.9 L/min, CO2: 475 ppm
[LOG][2005-11-30 14:21] Temp: 16.5C, Press: 101.1Pa, Humid: 7.1%, Volt: 13.5V, Flow: 13.6 L/min, CO2: 1706 ppm
[LOG][2005-11-30 16:16] Temp: 28.7C, Press: 100.5Pa, Humid: 71.1%, Volt: 12.3V, Flow: 8.7 L/min, CO2: 447 ppm
[LOG][2005-12-01 17:38] Temp: 28.3C, Press: 101.2Pa, Humid: 39.4%, Volt: 13.8V, Flow: 8.1 L/min, CO2: 436 ppm
[LOG][2005-12-02 06:39] Temp: 22.0C, Press: 100.3Pa, Humid: 44.8%, Volt: 12.2V, Flow: 8.2 L/min, CO2: 424 ppm
[LOG][2005-12-02 16:53] Temp: 31.9C, Press: 99.3Pa, Humid: 31.5%, Volt: 11.3V, Flow: 8.8 L/min, CO2: 488 ppm
[LOG][2005-12-02 20:26] Temp: nanC, Press: 103.6Pa, Humid: 50.5%, Volt: nanV, Flow: nan L/min, CO2: 461 ppm
[ERROR] Sensor Disconnected - Volt: nan, Temp: nan, Flow: nan
[LOG][2005-12-03 13:51] Temp: nanC, Press: 99.6Pa, Humid: nan%, Volt: 12.8V, Flow: 12.9 L/min, CO2: 495 ppm
[ERROR] Sensor Disconnected - Humid: nan, Temp: nan
[LOG][2005-12-03 23:28] Temp: 20.8C, Press: 99.6Pa, Humid: 78.5%, Volt: 13.6V, Flow: 8.5 L/min, CO2: 464 ppm
[LOG][2005-12-04 11:00] Temp: 28.9C, Press: 102.0Pa, Humid: 79.0%, Volt: 12.8V, Flow: 7.0 L/min, CO2: 358 ppm
[LOG][2005-12-05 05:34] Temp: 19.1C, Press: 103.6Pa, Humid: 40.2%, Volt: 13.9V, Flow: 9.6 L/min, CO2: 430 ppm
[LOG][2005-12-05 10:47] Temp: 16.3C, Press: 101.0Pa, Humid: 57.0%, Volt: 13.6V, Flow: 6.9 L/min, CO2: 473 ppm
[LOG][2005-12-05 23:18] Temp: 21.8C, Press: 104.3Pa, Humid: 70.5%, Volt: 11.8V, Flow: 11.6 L/min, CO2: 482 ppm
[LOG][2005-12-06 14:39] Temp: 34.5C, Press: 102.1Pa, Humid: 42.8%, Volt: 13.0V, Flow: 9.5 L/min, CO2: 468 ppm
[LOG][2005-12-07 10:18] Temp: 20.0C, Press: 103.9Pa, Humid: 74.6%, Volt: 12.5V, Flow: 12.8 L/min, CO2: 417 ppm
[LOG][2005-12-07 22:17] Temp: 34.4C, Press: 99.8Pa, Humid: 69.2%, Volt: 11.5V, Flow: 5.8 L/min, CO2: 481 ppm
[LOG][2005-12-08 11:06] Temp: 34.5C, Press: 102.0Pa, Humid: 73.6%, Volt: 11.1V, Flow: 10.1 L/min, CO2: 486 ppm
[LOG][2005-12-08 23:27] Temp: 30.1C, Press: 103.2Pa, Humid: 43.8%, Volt: 13.8V, Flow: 5.0 L/min, CO2: 498 ppm
[DEBUG] Interval Check
[LOG][2005-12-09 19:31] Temp: nanC, Press: nanPa, Humid: 78.2%, Volt: 13.4V, Flow: 13.1 L/min, CO2: nan ppm
[ERROR] Sensor Disconnected - Temp: nan, Press: nan, CO2: nan
[LOG][2005-12-10 05:25] Temp: 20.8C, Press: 102.2Pa, Humid: 33.5%, Volt: 13.7V, Flow: 13.0 L/min, CO2: 365 ppm
[LOG][2005-12-10 20:31] Temp: 30.0C, Press: 103.4Pa, Humid: 34.4%, Volt: 13.8V, Flow: 6.8 L/min, CO2: 434 ppm
[LOG][2005-12-10 21:55] Temp: 23.6C, Press: 100.4Pa, Humid: 42.3%, Volt: 13.1V, Flow: 10.9 L/min, CO2: 377 ppm
[LOG][2005-12-11 04:00] Temp: 25.7C, Press: 99.2Pa, Humid: 32.7%, Volt: 12.5V, Flow: 8.8 L/min, CO2: 362 ppm
[LOG][2005-12-11 19:07] Temp: 18.6C, Press: 100.8Pa, Humid: 46.3%, Volt: 11.6V, Flow: 9.6 L/min, CO2: 1709 ppm
[LOG][2005-12-12 01:16] Temp: 34.4C, Press: 102.1Pa, Humid: 64.0%, Volt: 11.1V, Flow: 14.2 L/min, CO2: 430 ppm
[LOG][2005-12-13 14:20] Temp: 0.8C, Press: 100.6Pa, Humid: 74.0%, Volt: 11.1V, Flow: 7.7 L/min, CO2: 181 ppm
[LOG][2005-12-14 05:32] Temp: 15.2C, Press: 100.4Pa, Humid: 68.2%, Volt: 12.5V, Flow: 7.5 L/min, CO2: 477 ppm
[LOG][2005-12-14 12:36] Temp: 24.4C, Press: 98.5Pa, Humid: 41.3%, Volt: 12.0V, Flow: 6.4 L/min, CO2: 384 ppm
[LOG][2005-12-15 08:27] Temp: 30.9C, Press: 101.9Pa, Humid: 54.5%, Volt: 11.5V, Flow: 11.2 L/min, CO2: 446 ppm
[LOG][2005-12-15 13:55] Temp: 33.5C, Press: 103.6Pa, Humid: 57.3%, Volt: 12.0V, Flow: 6.5 L/min, CO2: 445 ppm
[LOG][2005-12-16 12:08] Temp: 16.9C, Press: 99.0Pa, Humid: 61.4%, Volt: 11.2V, Flow: 13.7 L/min, CO2: 474 ppm
[LOG][2005-12-17 03:34] Temp: 15.5C, Press: 99.7Pa, Humid: 31.1%, Volt: 11.4V, Flow: 6.1 L/min, CO2: 499 ppm
[LOG][2005-12-17 07:21] Temp: 24.6C, Press: 101.7Pa, Humid: 36.0%, Volt: 11.3V, Flow: 10.5 L/min, CO2: 458 ppm
[LOG][2005-12-18 16:17] Temp: 33.2C, Press: 104.0Pa, Humid: 67.4%, Volt: 11.4V, Flow: 13.0 L/min, CO2: 476 ppm
[LOG][2005-12-19 15:33] Temp: 16.0C, Press: 98.8Pa, Humid: 55.1%, Volt: 13.4V, Flow: 8.4 L/min, CO2: 460 ppm
[LOG][2005-12-20 05:56] Temp: 29.1C, Press: 102.0Pa, Humid: 38.6%, Volt: 12.7V, Flow: 14.0 L/min, CO2: 436 ppm
[LOG][2005-12-20 10:59] Temp: 15.2C, Press: 99.7Pa, Humid: 49.2%, Volt: 13.1V, Flow: 10.3 L/min, CO2: 468 ppm
[LOG][2005-12-21 04:04] Temp: 17.8C, Press: 98.7Pa, Humid: 66.2%, Volt: 12.5V, Flow: 5.6 L/min, CO2: 378 ppm
[LOG][2005-12-22 05:23] Temp: 15.7C, Press: 100.0Pa, Humid: 45.3%, Volt: 11.0V, Flow: 12.3 L/min, CO2: 389 ppm
[LOG][2005-12-22 15:41] Temp: 33.4C, Press: 99.3Pa, Humid: 71.6%, Volt: 11.1V, Flow: 8.6 L/min, CO2: 392 ppm
[LOG][2005-12-23 19:41] Temp: 33.0C, Press: 101.0Pa, Humid: 63.8%, Volt: 11.6V, Flow: 14.0 L/min, CO2: 351 ppm
[LOG][2005-12-24 17:52] Temp: 34.8C, Press: 102.4Pa, Humid: 78.9%, Volt: 12.1V, Flow: 10.7 L/min, CO2: 390 ppm
[LOG][2005-12-25 04:53] Temp: 19.9C, Press: 100.7Pa, Humid: 77.1%, Volt: 13.4V, Flow: 8.0 L/min, CO2: 385 ppm
[LOG][2005-12-25 09:12] Temp: 25.4C, Press: 102.5Pa, Humid: 49.0%, Volt: 12.6V, Flow: 9.2 L/min, CO2: 495 ppm
[LOG][2005-12-25 12:40] Temp: 24.0C, Press: 100.3Pa, Humid: 35.1%, Volt: 11.9V, Flow: 13.3 L/min, CO2: 371 ppm
[LOG][2005-12-26 12:09] Temp: 29.4C, Press: 99.1Pa, Humid: 54.2%, Volt: 13.2V, Flow: 12.2 L/min, CO2: 403 ppm
[LOG][2005-12-27 00:07] Temp: 24.7C, Press: 101.3Pa, Humid: 67.4%, Volt: 13.5V, Flow: 5.5 L/min, CO2: 485 ppm
[LOG][2005-12-27 22:31] Temp: 21.3C, Press: 101.2Pa, Humid: 41.6%, Volt: 13.6V, Flow: 12.0 L/min, CO2: 479 ppm
[DEBUG] Interval Check
[LOG][2005-12-28 08:14] Temp: 28.7C, Press: 104.3Pa, Humid: 57.3%, Volt: 11.9V, Flow: 7.7 L/min, CO2: 495 ppm
[LOG][2005-12-28 10:00] Temp: 19.9C, Press: 99.5Pa, Humid: 32.9%, Volt: 12.5V, Flow: 12.9 L/min, CO2: 495 ppm
[LOG][2005-12-29 03:12] Temp: 15.6C, Press: 101.6Pa, Humid: 56.0%, Volt: 11.2V, Flow: 11.0 L/min, CO2: 471 ppm
[LOG][2005-12-29 19:27] Temp: 27.8C, Press: 101.5Pa, Humid: 72.0%, Volt: 12.5V, Flow: 9.4 L/min, CO2: 367 ppm
[LOG][2005-12-29 22:07] Temp: 24.2C, Press: 100.0Pa, Humid: 61.9%, Volt: 11.5V, Flow: 9.9 L/min, CO2: 429 ppm
[LOG][2005-12-30 00:04] Temp: 28.0C, Press: 104.2Pa, Humid: 64.0%, Volt: 12.8V, Flow: 5.9 L/min, CO2: 374 ppm
[LOG][2005-12-30 19:12] Temp: 34.6C, Press: 99.5Pa, Humid: 51.2%, Volt: 11.1V, Flow: 12.8 L/min, CO2: 432 ppm
[LOG][2005-12-31 10:39] Temp: 33.2C, Press: 100.5Pa, Humid: 37.5%, Volt: 11.1V, Flow: 11.3 L/min, CO2: 387 ppm
[LOG][2005-12-31 23:00] Temp: 33.9C, Press: 103.3Pa, Humid: 61.9%, Volt: 13.5V, Flow: 6.1 L/min, CO2: 406 ppm
[LOG][2006-01-01 10:37] Temp: 29.7C, Press: 100.1Pa, Humid: 33.9%, Volt: 13.5V, Flow: 8.7 L/min, CO2: 403 ppm
[LOG][2006-01-01 12:58] Temp: 20.8C, Press: 99.4Pa, Humid: 54.8%, Volt: 12.6V, Flow: 9.8 L/min, CO2: 438 ppm
[LOG][2006-01-02 07:32] Temp: 16.1C, Press: 102.5Pa, Humid: 43.9%, Volt: 13.0V, Flow: 5.5 L/min, CO2: 492 ppm
[LOG][2006-01-03 00:55] Temp: 28.7C, Press: 101.8Pa, Humid: 77.2%, Volt: 12.3V, Flow: 11.0 L/min, CO2: 353 ppm
[LOG][2006-01-03 10:43] Temp: 16.6C, Press: 100.6Pa, Humid: 63.1%, Volt: 13.3V, Flow: 10.0 L/min, CO2: 433 ppm
[LOG][2006-01-04 11:51] Temp: 33.9C, Press: 103.4Pa, Humid: 44.2%, Volt: 11.1V, Flow: 6.6 L/min, CO2: 425 ppm
[LOG][2006-01-05 09:00] Temp: 16.8C, Press: 101.8Pa, Humid: 75.7%, Volt: 11.6V, Flow: 9.1 L/min, CO2: 368 ppm
[LOG][2006-01-06 11:19] Temp: 31.6C, Press: 101.6Pa, Humid: 48.9%, Volt: 11.3V, Flow: 6.4 L/min, CO2: 397 ppm
[LOG][2006-01-06 13:46] Temp: 21.5C, Press: 98.4Pa, Humid: 46.6%, Volt: 18.9V, Flow: 13.8 L/min, CO2: 404 ppm
[WARN] Low Voltage Warning - Volt: 18.9V
[LOG][2006-01-07 03:54] Temp: 26.3C, Press: 100.4Pa, Humid: 47.4%, Volt: 11.9V, Flow: 10.2 L/min, CO2: 463 ppm
[LOG][2006-01-07 12:55] Temp: 20.3C, Press: 99.7Pa, Humid: 50.6%, Volt: 13.0V, Flow: 8.8 L/min, CO2: 391 ppm
[LOG][2006-01-08 20:34] Temp: 23.2C, Press: 101.5Pa, Humid: 47.1%, Volt: 11.5V, Flow: 5.3 L/min, CO2: 415 ppm
[LOG][2006-01-09 12:20] Temp: 17.1C, Press: 102.3Pa, Humid: 37.0%, Volt: 12.1V, Flow: 8.5 L/min, CO2: 444 ppm
[LOG][2006-01-09 13:57] Temp: 33.2C, Press: 104.9Pa, Humid: 62.9%, Volt: 11.5V, Flow: 8.9 L/min, CO2: 403 ppm
[LOG][2006-01-10 02:38] Temp: 22.6C, Press: 103.3Pa, Humid: 54.8%, Volt: 11.0V, Flow: 10.2 L/min, CO2: 364 ppm
[LOG][2006-01-10 04:25] Temp: 27.1C, Press: 98.5Pa, Humid: 56.5%, Volt: 12.8V, Flow: 13.4 L/min, CO2: 379 ppm
[LOG][2006-01-10 19:20] Temp: 18.0C, Press: 98.8Pa, Humid: 43.4%, Volt: 13.7V, Flow: 5.9 L/min, CO2: 413 ppm
[LOG][2006-01-11 14:43] Temp: 28.0C, Press: 102.3Pa, Humid: 61.0%, Volt: 11.2V, Flow: 7.9 L/min, CO2: 424 ppm
[LOG][2006-01-12 00:51] Temp: 33.5C, Press: 98.5Pa, Humid: 33.7%, Volt: 12.8V, Flow: 11.5 L/min, CO2: 355 ppm
[LOG][2006-01-12 15:56] Temp: 23.1C, Press: 98.0Pa, Humid: 60.3%, Volt: 11.1V, Flow: 5.9 L/min, CO2: 385 ppm
[LOG][2006-01-12 20:48] Temp: 17.2C, Press: 104.3Pa, Humid: 46.9%, Volt: 12.9V, Flow: 14.8 L/min, CO2: 406 ppm
[LOG][2006-01-13 21:41] Temp: 31.9C, Press: 100.6Pa, Humid: 39.9%, Volt: 13.9V, Flow: 10.0 L/min, CO2: 458 ppm
[LOG][2006-01-14 20:48] Temp: 16.3C, Press: 102.2Pa, Humid: 38.1%, Volt: 13.1V, Flow: 9.6 L/min, CO2: 490 ppm
[LOG][2006-01-15 20:17] Temp: 16.3C, Press: 100.9Pa, Humid: 77.1%, Volt: 12.9V, Flow: 8.0 L/min, CO2: 412 ppm
[LOG][2006-01-16 02:28] Temp: 17.4C, Press: 102.5Pa, Humid: 43.8%, Volt: 13.7V, Flow: 9.7 L/min, CO2: 475 ppm
[LOG][2006-01-16 19:58] Temp: 26.7C, Press: 98.6Pa, Humid: 75.7%, Volt: 11.3V, Flow: 5.7 L/min, CO2: 445 ppm
[LOG][2006-01-17 08:21] Temp: 26.1C, Press: 102.5Pa, Humid: 40.1%, Volt: 12.5V, Flow: 14.0 L/min, CO2: 413 ppm
[LOG][2006-01-18 09:11] Temp: 28.4C, Press: 104.4Pa, Humid: 36.7%, Volt: 12.3V, Flow: 12.4 L/min, CO2: 489 ppm
[LOG][2006-01-18 12:16] Temp: 26.8C, Press: 98.5Pa, Humid: 57.9%, Volt: 12.9V, Flow: 8.5 L/min, CO2: 370 ppm
[LOG][2006-01-18 22:18] Temp: 34.9C, Press: 101.4Pa, Humid: 52.2%, Volt: 13.1V, Flow: 10.3 L/min, CO2: 384 ppm
[LOG][2006-01-19 02:47] Temp: 22.5C, Press: 101.0Pa, Humid: 43.8%, Volt: 12.1V, Flow: 8.4 L/min, CO2: 478 ppm
[LOG][2006-01-19 15:19] Temp: 30.8C, Press: 102.2Pa, Humid: 50.5%, Volt: 12.3V, Flow: 6.6 L/min, CO2: 471 ppm
[LOG][2006-01-19 22:50] Temp: 34.5C, Press: 99.6Pa, Humid: 6.1%, Volt: 11.7V, Flow: 8.7 L/min, CO2: 361 ppm
[WARN] Humidity Out of Bounds - Humid: 6.1%
[LOG][2006-01-20 10:27] Temp: 21.9C, Press: 98.6Pa, Humid: 42.9%, Volt: 17.5V, Flow: 13.4 L/min, CO2: 490 ppm
[WARN] Low Voltage Warning - Volt: 17.5V
[LOG][2006-01-20 15:33] Temp: 33.5C, Press: 104.6Pa, Humid: 30.9%, Volt: 12.6V, Flow: 11.6 L/min, CO2: 410 ppm
[LOG][2006-01-21 05:33] Temp: 27.1C, Press: 100.3Pa, Humid: 56.9%, Volt: 12.3V, Flow: 13.3 L/min, CO2: 421 ppm
[LOG][2006-01-21 07:30] Temp: 31.7C, Press: 101.1Pa, Humid: 63.0%, Volt: 13.8V, Flow: 7.6 L/min, CO2: 481 ppm
[LOG][2006-01-22 16:23] Temp: 17.6C, Press: 100.6Pa, Humid: 49.2%, Volt: 11.0V, Flow: 11.5 L/min, CO2: 355 ppm
[LOG][2006-01-22 19:22] Temp: 28.4C, Press: 100.9Pa, Humid: 57.7%, Volt: 13.0V, Flow: 6.3 L/min, CO2: 445 ppm
[LOG][2006-01-23 00:27] Temp: 26.8C, Press: 99.2Pa, Humid: 32.3%, Volt: 11.3V, Flow: 14.4 L/min, CO2: 429 ppm
[LOG][2006-01-23 02:07] Temp: 19.7C, Press: 104.5Pa, Humid: 4.7%, Volt: 13.1V, Flow: 9.4 L/min, CO2: 361 ppm
[WARN] Humidity Out of Bounds - Humid: 4.7%
[LOG][2006-01-23 11:21] Temp: 34.5C, Press: 104.4Pa, Humid: 52.0%, Volt: 13.4V, Flow: 6.1 L/min, CO2: 464 ppm
[LOG][2006-01-24 01:34] Temp: 26.3C, Press: 100.3Pa, Humid: 54.3%, Volt: 13.3V, Flow: 6.4 L/min, CO2: 401 ppm
[LOG][2006-01-24 11:06] Temp: 33.0C, Press: 98.8Pa, Humid: 35.3%, Volt: 12.3V, Flow: 6.2 L/min, CO2: 428 ppm
[LOG][2006-01-24 21:48] Temp: 23.9C, Press: 103.0Pa, Humid: 42.1%, Volt: 13.8V, Flow: 10.7 L/min, CO2: 475 ppm
[LOG][2006-01-25 19:23] Temp: 25.0C, Press: 101.6Pa, Humid: 40.5%, Volt: 12.9V, Flow: 12.8 L/min, CO2: 430 ppm
[LOG][2006-01-26 00:08] Temp: 32.3C, Press: 104.2Pa, Humid: 72.8%, Volt: 12.7V, Flow: 9.1 L/min, CO2: 460 ppm
[LOG][2006-01-26 21:05] Temp: 18.2C, Press: 99.4Pa, Humid: 47.8%, Volt: 12.5V, Flow: 13.5 L/min, CO2: 475 ppm
[LOG][2006-01-27 06:28] Temp: 21.7C, Press: 98.3Pa, Humid: 98.1%, Volt: 12.0V, Flow: 13.3 L/min, CO2: 471 ppm
[ERROR] Value Out of Range - Humid: 98.1%
[LOG][2006-01-27 11:14] Temp: 22.7C, Press: 101.0Pa, Humid: 5.9%, Volt: 12.0V, Flow: 9.7 L/min, CO2: 132 ppm
[LOG][2006-01-28 04:35] Temp: 32.7C, Press: 104.1Pa, Humid: 76.7%, Volt: 11.5V, Flow: 9.3 L/min, CO2: 460 ppm
[LOG][2006-01-28 22:12] Temp: 24.5C, Press: 101.1Pa, Humid: 35.5%, Volt: 12.4V, Flow: 5.2 L/min, CO2: 409 ppm
[LOG][2006-01-29 11:10] Temp: 27.5C, Press: 100.7Pa, Humid: 63.3%, Volt: 11.2V, Flow: 7.4 L/min, CO2: 431 ppm
[LOG][2006-01-29 13:17] Temp: 21.5C, Press: 99.2Pa, Humid: 35.0%, Volt: 11.2V, Flow: 8.0 L/min, CO2: 388 ppm
[LOG][2006-01-29 14:21] Temp: 31.3C, Press: 102.8Pa, Humid: 65.8%, Volt: 12.3V, Flow: 14.2 L/min, CO2: 419 ppm
[LOG][2006-01-30 18:40] Temp: 18.1C, Press: 103.7Pa, Humid: 55.5%, Volt: 11.6V, Flow: 11.8 L/min, CO2: 456 ppm
[LOG][2006-01-30 23:00] Temp: 0.3C, Press: 101.4Pa, Humid: 46.3%, Volt: 12.2V, Flow: 13.3 L/min, CO2: 396 ppm
[LOG][2006-01-31 10:10] Temp: 31.4C, Press: 101.8Pa, Humid: 66.6%, Volt: 11.1V, Flow: 8.3 L/min, CO2: 444 ppm
[LOG][2006-01-31 20:56] Temp: 34.1C, Press: 101.3Pa, Humid: 62.7%, Volt: 13.7V, Flow: 9.1 L/min, CO2: 401 ppm
[LOG][2006-02-01 21:43] Temp: 33.1C, Press: 98.5Pa, Humid: 41.3%, Volt: 11.6V, Flow: 11.8 L/min, CO2: 466 ppm
